modeloDeRelevancia;tipoDeMemoria;tipoDeRaciocinio;comparacoes;memoria;movimentacoes;utilidade;eficienciaCpu;eficienciaMemoria
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;3330,2292;1,2095;370,83426;0;0;0
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;60598,79;128,26926;0;15,387318;0,119961075;0,02539212
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;39274,125;23,4175;210,6665;14,659317;0,6259984;0,035425417
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;4235,347;1,22675;366,794;0;0;0
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;94166,414;30,824;29434,422;11,033902;0,35796466;0,002840052
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;3221,3943;1,1885;367,41675;0;0;0
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;48160,484;128,26926;0;15,387318;0,119961075;0,03195009
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;48160,484;128,26926;0;15,387318;0,119961075;0,03195009
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;4045,1653;1,20275;363,0775;0;0;0
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;2239,3528;1,252;423,90274;0,2643896;0,2111738;0,004081107
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;48160,484;128,26926;0;15,387318;0,119961075;0,03195009
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;4528,4795;1,228;409,32175;0;0;0
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;60598,79;128,26926;0;15,387318;0,119961075;0,02539212
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;93701,086;27,95925;36077,42;7,8097305;0,2793255;0,001718406
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;1913,7343;1,2085;363,8005;0;0;0
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;48160,484;128,26926;0;15,387318;0,119961075;0,03195009
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;15753,973;17,82275;252,45625;11,423412;0,64094555;0,06249632
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;1992,049;1,22875;364,12024;0;0;0
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;60598,79;128,26926;0;15,387318;0,119961075;0,02539212
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;60598,79;128,26926;0;15,387318;0,119961075;0,02539212
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;3278,8677;1,2455;361,44174;0;0;0
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;33833,645;17,81275;244,75525;11,273693;0,6329002;0,0310731
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;1831,9473;1,19125;361,607;0;0;0
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;38719,88;23,3975;208,26425;14,66017;0,6265699;0,035929564
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;3183,5967;1,19675;361,4905;0;0;0
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;60598,79;128,26926;0;15,387318;0,119961075;0,02539212
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;37927,996;25,2755;170,472;13,948267;0,5518493;0,03519382
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;31508,873;22,9625;230,5155;14,635688;0,63737345;0,04328289
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;1756,5225;1,17925;362,2895;0;0;0
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;8217,818;4,01225;362,2715;1,4278654;0,35587648;0,012059132
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;60598,79;128,26926;0;15,387318;0,119961075;0,02539212
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;73316;16,1105;7633,459;6,510799;0,4041339;0,004350667
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;4560,562;1,223;410,662;0;0;0
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;47776,168;17,92975;24123,898;8,828829;0,49241224;0,003054798
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;4497,4824;1,2915;379,73126;0;0;0
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;55205,01;23,41325;22642,24;8,844102;0,3777392;0,003140356
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;16668,303;22,35325;219,25426;11,853703;0,5302899;0,0628482
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;60598,79;128,26926;0;15,387318;0,119961075;0,02539212
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;3446,9;1,21225;401,39774;0;0;0
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;3336,3015;1,231;374,88776;0;0;0
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;3559,1921;2,4625;370,222;0,4101881;0,16657384;0,005648875
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;29182,457;25,2795;170,72725;13,948267;0,551762;0,04515503
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;48160,484;128,26926;0;15,387318;0,119961075;0,03195009
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;7316,8594;2,3025;367,42026;0,5523797;0,23990433;0,005025717
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;76422,34;33,945;14939,825;8,073854;0,23785107;0,00357534
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;40599,48;128,26926;0;15,387318;0,119961075;0,037900284
