DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 5940,0664 ; 1,38525 ; 583,6345 ; 0,5276873 ; 0,38093293 ; 0,0044808835
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 221448,5 ; 30,86875 ; 16949,318 ; 10,292115 ; 0,33341536 ; 0,0026326473
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 113670,32 ; 23,69625 ; 545,923 ; 15,850875 ; 0,6689191 ; 0,013305578
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 3370,8745 ; 1,32 ; 614,6405 ; 0,5276873 ; 0,3997631 ; 0,0055445186
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 3477,9275 ; 1,361 ; 590,0303 ; 0,59875786 ; 0,43993968 ; 0,0063845506
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 262364,2 ; 54,875 ; 64636,137 ; 21,147774 ; 0,38538083 ; 0,0023271902
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 4140,113 ; 1,49925 ; 675,2845 ; 0,5276873 ; 0,3519675 ; 0,004844298
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 52,29227 ; 0,226563 ; 0,027476806
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 9394,381 ; 1,544 ; 583,31525 ; 51,136776 ; 33,119675 ; 0,33581787
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 55,57268 ; 0,24077581 ; 0,029200489
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 6291,7476 ; 1,38375 ; 638,074 ; 0,75981086 ; 0,5490955 ; 0,005995752
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 162010,11 ; 43,6945 ; 396,7505 ; 45,36294 ; 1,0381843 ; 0,027330758
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 234552,62 ; 230,80675 ; 0,0 ; 62,177513 ; 0,2693921 ; 0,026508983
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ; 234552,62 ; 230,80675 ; 0,0 ; 28,411745 ; 0,12309755 ; 0,012113164
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 245056,34 ; 68,5575 ; 53276,61 ; 14,035113 ; 0,20472032 ; 0,0018044108
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 7159,065 ; 1,59675 ; 598,9895 ; 0,5276873 ; 0,33047584 ; 0,0040131486
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 8423,424 ; 1,35525 ; 620,05524 ; 0,5276873 ; 0,3893653 ; 0,003608371
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 56076,477 ; 28,55775 ; 577,01324 ; 20,739206 ; 0,7262199 ; 0,033533297
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 3702,009 ; 1,438 ; 598,824 ; 0,6566543 ; 0,45664418 ; 0,0067764437
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 6129,075 ; 2,1785 ; 720,063 ; 34,148327 ; 15,675157 ; 0,25618216
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 123068,75 ; 28,332 ; 528,2705 ; 13,335078 ; 0,47067195 ; 0,010389503
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 128398,18 ; 21,414 ; 2913,3303 ; 21,074406 ; 0,9841415 ; 0,013377901
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 6867,0327 ; 1,3845 ; 659,341 ; 0,5276873 ; 0,38113925 ; 0,003920282
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 160770,27 ; 230,80675 ; 0,0 ; 42,779858 ; 0,18534926 ; 0,02660931
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 43286,04 ; 9,15625 ; 623,4445 ; 1,5251309 ; 0,16656719 ; 0,003079798
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 48,610237 ; 0,21061012 ; 0,025542095
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 4420,2593 ; 1,47925 ; 735,8472 ; 0,5276873 ; 0,35672626 ; 0,004480001
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 44103,934 ; 10,386 ; 2059,8643 ; 12,668887 ; 1,2198043 ; 0,01958019
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 160770,27 ; 230,80675 ; 0,0 ; 59,38207 ; 0,25728047 ; 0,036935978
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 160770,27 ; 230,80675 ; 0,0 ; 60,928963 ; 0,2639826 ; 0,037898157
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 726,1192 ; 3,1460052 ; 0,38153702
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 4110,404 ; 1,461 ; 674,42773 ; 0,83087426 ; 0,56870246 ; 0,0076545244
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 234552,62 ; 230,80675 ; 0,0 ; 65,13875 ; 0,28222203 ; 0,027771486
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 8363,314 ; 1,403 ; 609,8107 ; 0,911821 ; 0,64990807 ; 0,006305196
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 3870,9697 ; 1,53875 ; 593,29376 ; 0,911821 ; 0,5925725 ; 0,009300588
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 6737,98 ; 1,48975 ; 611,04675 ; 0,911821 ; 0,6120631 ; 0,007096741
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 111616,305 ; 54,22025 ; 53676,562 ; 30,274078 ; 0,5583537 ; 0,0046691736
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 160770,27 ; 230,80675 ; 0,0 ; 74,25186 ; 0,32170576 ; 0,04618507
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 257995,3 ; 47,41575 ; 58092,85 ; 30,805552 ; 0,6496903 ; 0,0036720322
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 4203,075 ; 1,58425 ; 620,1025 ; 0,9115923 ; 0,5754094 ; 0,008761857
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 9680,033 ; 1,4475 ; 725,964 ; 0,911821 ; 0,6299282 ; 0,005382755
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 14855,916 ; 4,08675 ; 1046,8187 ; 215,24158 ; 52,66815 ; 0,8499475
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 77,402565 ; 0,3353566 ; 0,04067093
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 160770,27 ; 230,80675 ; 0,0 ; 80,273186 ; 0,34779394 ; 0,049930368
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 147513,33 ; 12,505 ; 5824,56 ; 15,08025 ; 1,2059376 ; 0,0073290863
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 106,8015 ; 0,46273127 ; 0,056118503
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 6068,431 ; 1,41975 ; 586,8057 ; 1,8907822 ; 1,3317713 ; 0,015840355
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 5410,232 ; 2,0805 ; 586,458 ; 1,8907822 ; 0,9088115 ; 0,016769966
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 8327,032 ; 1,89125 ; 582,139 ; 7,2455993 ; 3,8311167 ; 0,05121136
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ; 234552,62 ; 230,80675 ; 0,0 ; 124,59883 ; 0,5398405 ; 0,053121906
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 5028,967 ; 1,97425 ; 588,2095 ; 7,624482 ; 3,861964 ; 0,06987847
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 168320,1 ; 37,497 ; 541,42975 ; 114,72463 ; 3,0595682 ; 0,066034496
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 63462,18 ; 16,27675 ; 551,8435 ; 626,1555 ; 38,46932 ; 0,90772676
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 121879,11 ; 38,08525 ; 455,9075 ; 65,76559 ; 1,7267994 ; 0,052014023
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 160770,27 ; 230,80675 ; 0,0 ; 78,46334 ; 0,33995253 ; 0,048804633
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 6703,1787 ; 1,4735 ; 614,84674 ; 0,9115923 ; 0,6186578 ; 0,007093195
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 234552,62 ; 230,80675 ; 0,0 ; 86,72326 ; 0,3757397 ; 0,036973905
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 160770,27 ; 230,80675 ; 0,0 ; 95,63869 ; 0,41436696 ; 0,059487797
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 102,1903 ; 0,44275266 ; 0,05369557
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 133273,25 ; 22,87 ; 11309,261 ; 31,844019 ; 1,3923925 ; 0,0129255
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 157764,38 ; 32,37325 ; 28642,008 ; 63,04332 ; 1,9473894 ; 0,014193051
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 150,04883 ; 0,6501059 ; 0,07884268
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 10273,796 ; 2,20275 ; 620,33276 ; 9,6936655 ; 4,4007106 ; 0,05883106
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 1356,6433 ; 5,877832 ; 0,7128439
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 160770,27 ; 230,80675 ; 0,0 ; 159,67645 ; 0,69181883 ; 0,099319644
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 119869,84 ; 41,23325 ; 438,26776 ; 122,79522 ; 2,978063 ; 0,09882714
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 58405,84 ; 16,56725 ; 1763,6973 ; 131,88527 ; 7,9606013 ; 0,17343555
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 13513,187 ; 2,262 ; 614,59576 ; 3,92075 ; 1,7333112 ; 0,019943643
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 160770,27 ; 230,80675 ; 0,0 ; 208,82884 ; 0,9047779 ; 0,1298927
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 14152,271 ; 2,1035 ; 677,7395 ; 4,7046857 ; 2,236599 ; 0,02247855
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 4521,258 ; 1,82475 ; 581,528 ; 4,7046857 ; 2,5782633 ; 0,0455151
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 158027,92 ; 37,73625 ; 479,9655 ; 187,55453 ; 4,9701424 ; 0,115185976
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 28,411745 ; 0,12309755 ; 0,0149288615
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 3702,6697 ; 1,45675 ; 592,33276 ; 0,527555 ; 0,36214516 ; 0,005480523
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 7866,743 ; 1,33975 ; 593,425 ; 9,755714 ; 7,281742 ; 0,07068849
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 9411,228 ; 1,48925 ; 646,96875 ; 9,755714 ; 6,550757 ; 0,06143043
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 46693,56 ; 10,6605 ; 2045,9318 ; 7,09738 ; 0,66576433 ; 0,010568989
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 84949,98 ; 6,71025 ; 3888,1313 ; 0,527555 ; 0,07861928 ; 4,2602723E-4
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 7639,518 ; 1,49625 ; 696,724 ; 0,5276873 ; 0,3526732 ; 0,0036126245
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 163239,44 ; 49,6195 ; 357,59976 ; 30,77693 ; 0,62025875 ; 0,018449688
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 55103,598 ; 24,59925 ; 529,3015 ; 16,173365 ; 0,65747386 ; 0,026778596
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 234552,62 ; 230,80675 ; 0,0 ; 43,82925 ; 0,18989588 ; 0,018686317
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 234552,62 ; 230,80675 ; 0,0 ; 45,19675 ; 0,19582075 ; 0,019269343
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 10297,254 ; 1,55425 ; 698,862 ; 0,5276873 ; 0,3395125 ; 0,003052708
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 234552,62 ; 230,80675 ; 0,0 ; 46,625618 ; 0,2020115 ; 0,019878533
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 126205,29 ; 65,35625 ; 43740,05 ; 18,89668 ; 0,28913352 ; 0,0033528188
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 6605,977 ; 1,43475 ; 633,15625 ; 9,755714 ; 6,799592 ; 0,07540626
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 204867,58 ; 56,521 ; 61978,574 ; 25,989948 ; 0,45982817 ; 0,0031516212
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 7033,8306 ; 1,579 ; 597,0272 ; 0,75981086 ; 0,4811975 ; 0,0058428547
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 115724,72 ; 11,4755 ; 5486,9136 ; 4,3270392 ; 0,3770676 ; 0,0025364566
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 135059,27 ; 58,9165 ; 41232,125 ; 30,72886 ; 0,5215663 ; 0,0056138025
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 74,389046 ; 0,32230014 ; 0,03908749
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ; 234552,62 ; 230,80675 ; 0,0 ; 77,26105 ; 0,33474344 ; 0,032939747
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 5912,882 ; 1,3705 ; 589,58276 ; 0,5276873 ; 0,3850327 ; 0,004468628
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 310335,88 ; 72,51 ; 78444,55 ; 12,750695 ; 0,1758474 ; 0,0011646796
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 31,509584 ; 0,13651934 ; 0,016556611
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 33,291008 ; 0,1442376 ; 0,017492654
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 160770,27 ; 230,80675 ; 0,0 ; 1390,9786 ; 6,026594 ; 0,8651964
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 7983,374 ; 1,35125 ; 581,48425 ; 0,527555 ; 0,39041996 ; 0,0038233565
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 6500,162 ; 1,40375 ; 625,5035 ; 0,5276873 ; 0,3759126 ; 0,004137038
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 34,79493 ; 0,15075351 ; 0,018282885
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 160770,27 ; 230,80675 ; 0,0 ; 36,091503 ; 0,15637109 ; 0,022449117
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 160770,27 ; 230,80675 ; 0,0 ; 37,44979 ; 0,16225605 ; 0,023293978
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 9670,358 ; 1,42725 ; 694,81274 ; 0,5276873 ; 0,3697231 ; 0,003175303
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 38,96254 ; 0,16881023 ; 0,020472743
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 10029,65 ; 1,66175 ; 588,484 ; 0,5276873 ; 0,31754917 ; 0,0033157663
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 40,0404 ; 0,1734802 ; 0,0210391
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 10002,313 ; 1,4365 ; 727,5347 ; 0,52729034 ; 0,36706603 ; 0,003051862
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 1484,8805 ; 6,4334364 ; 0,7802257
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 8863,643 ; 1,52625 ; 584,4275 ; 0,59875786 ; 0,39230654 ; 0,00407099
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 41,105473 ; 0,17809476 ; 0,02159874
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 7965,7383 ; 1,3645 ; 586,765 ; 0,5276873 ; 0,38672575 ; 0,0038145918
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 49182,047 ; 9,344 ; 623,1727 ; 1,5248662 ; 0,16319202 ; 0,0027517818
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 9971,768 ; 1,65025 ; 606,0303 ; 0,5276873 ; 0,31976205 ; 0,0032914483
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 9219,334 ; 1,38075 ; 705,85425 ; 0,52742267 ; 0,38198274 ; 0,0032401197
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 8004,017 ; 1,3465 ; 596,858 ; 0,5276873 ; 0,3918955 ; 0,0037765873
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 4670,912 ; 1,5985 ; 751,4865 ; 0,5276873 ; 0,33011404 ; 0,004330354
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 191256,67 ; 57,01075 ; 60978,746 ; 22,35366 ; 0,39209554 ; 0,0027905654
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 91623,27 ; 25,36575 ; 18270,223 ; 16,84081 ; 0,6639193 ; 0,0061389883
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 160770,27 ; 230,80675 ; 0,0 ; 1517,7712 ; 6,5759397 ; 0,9440622
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 4104,233 ; 1,4575 ; 691,4535 ; 0,75981086 ; 0,52131104 ; 0,0068956064
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 56228,996 ; 27,709 ; 530,5355 ; 24,038134 ; 0,8675208 ; 0,03906458
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ; 234552,62 ; 230,80675 ; 0,0 ; 69,06252 ; 0,2992223 ; 0,029444363
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 69,13307 ; 0,29952794 ; 0,036325753
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 190314,22 ; 230,80675 ; 0,0 ; 72,75469 ; 0,31521907 ; 0,03822872
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 7286,523 ; 1,63525 ; 595,824 ; 0,911821 ; 0,5576034 ; 0,006884389
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 261712,19 ; 47,6205 ; 58538,81 ; 30,812748 ; 0,647048 ; 0,0036374384
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 6701,734 ; 1,442 ; 628,83276 ; 0,911821 ; 0,6323308 ; 0,007019374
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 7597,5654 ; 1,49775 ; 740,431 ; 0,911821 ; 0,60879385 ; 0,0060780463
