relevancia;persistencia;raciocinio;comparacoes;crencasAtivas;movimentacoes;utilidade;cpu;memoria
Customizado ; Persistente ; BBGP ;179551,48;241,089;0;25,362188;0,10519844;0,014125301
Customizado ; Reminiscente ; BBGP ;124895,19;41,7935;792,35876;21,465963;0,51361966;0,016161844
Customizado ; Obliterante ; BBGP ;3471,4038;1,4055;622,111;0;0;0
Customizado ; Reminiscente ; BBGP ;93934,59;40,84175;716,2123;23,840868;0,5837377;0,023582239
Customizado ; Obliterante ; BBGP ;3114,5056;1,33675;558,6055;0,5654253;0,42298505;0,006498722
Customizado ; Persistente ; BBGP ;153467,2;220,8875;0;28,98578;0,13122419;0,018887281
Customizado ; Reminiscente ; BBGP ;112944,16;36,80325;758,77374;27,447609;0,7457931;0,022772072
Customizado ; Persistente ; BBGP ;158056,95;232,606;0;30,376217;0,13059086;0,019218525
Customizado ; Obliterante ; BBGP ;3386,1958;1,338;576,22174;0,577059;0,43128473;0,00630775
Customizado ; Reminiscente ; BBGP ;99424,33;42,71825;577,7985;22,662687;0,5305154;0,021542005
Customizado ; Obliterante ; BBGP ;3846,2517;1,4345;605,26025;0,16828977;0,11731598;0,001700093
Customizado ; Persistente ; BBGP ;157567,12;231,41624;0;28,61076;0,123633325;0,018157823
Customizado ; Obliterante ; BBGP ;3628,2776;1,37375;621,71124;0,44892272;0,32678634;0,004559726
Customizado ; Reminiscente ; BBGP ;117480,08;43,49625;688,971;27,755701;0,6381171;0,022317076
Customizado ; Persistente ; BBGP ;180291,28;238,44275;0;31,875908;0,1336837;0,017680228
Customizado ; Persistente ; BBGP ;162330,83;223,443;0;26,560284;0,11886828;0,016361823
Customizado ; Obliterante ; BBGP ;3525,03;1,41875;573,49023;0,6960487;0,490607;0,007516779
Customizado ; Reminiscente ; BBGP ;115065,875;40,957;714,22327;21,9065;0,5348658;0,01792557
Customizado ; Persistente ; BBGP ;157495,97;238,70676;0;25,88836;0,10845256;0,016437475
Customizado ; Obliterante ; BBGP ;3639,9504;1,33875;622,236;0;0;0
Customizado ; Reminiscente ; BBGP ;93837,46;39,90375;629,8422;20,922188;0,5243163;0,020893797
Customizado ; Reminiscente ; BBGP ;93376,45;40,46925;474,35526;24,123789;0,5961017;0,024586003
Customizado ; Obliterante ; BBGP ;3773,51;1,40375;631,83374;0,3900055;0,27783117;0,00386456
Customizado ; Persistente ; BBGP ;195918,89;240,87724;0;28,151072;0,11686896;0,014368738
Customizado ; Persistente ; BBGP ;161352,08;225,78674;0;27,086115;0,119963266;0,016786965
Customizado ; Reminiscente ; BBGP ;123389,21;45,572;645,22125;23,63545;0,51863974;0,01820332
Customizado ; Obliterante ; BBGP ;3377,3677;1,35175;596,1475;0,9398779;0,6953046;0,01006418
Customizado ; Obliterante ; BBGP ;3237,793;1,34875;588,9605;0,47690722;0,353592;0,005225007
Customizado ; Reminiscente ; BBGP ;123114,73;40,992;856,5563;19,245375;0,46949098;0,014615229
Customizado ; Persistente ; BBGP ;163395,5;232,54425;0;26,79095;0,11520797;0,016396381
Customizado ; Persistente ; BBGP ;163919,03;227,778;0;26,370268;0,11577179;0,016087374
Customizado ; Reminiscente ; BBGP ;103280,555;38,2225;818,92773;22,146599;0,57941264;0,019867796
Customizado ; Obliterante ; BBGP ;3498,572;1,37325;571,88525;0,8733074;0,63594204;0,009474527
Customizado ; Reminiscente ; BBGP ;90945,17;39,0165;762,446;26,67508;0,68368715;0,027062166
Customizado ; Persistente ; BBGP ;160332,7;231,493;0;30,003992;0,12961079;0,018713582
Customizado ; Obliterante ; BBGP ;3375,0684;1,34825;584,53375;0;0;0
Customizado ; Persistente ; BBGP ;168681,4;227,30325;0;27,754934;0,12210531;0,016454056
Customizado ; Obliterante ; BBGP ;3127,3103;1,27675;563,3063;0,15961957;0,12502022;0,001822064
Customizado ; Reminiscente ; BBGP ;92316,305;39,96625;781,2642;23,52939;0,58873147;0,023499088
Customizado ; Obliterante ; BBGP ;3988,4514;1,419;609,842;0,46274903;0,32610926;0,004587637
Customizado ; Persistente ; BBGP ;160958,66;237,3525;0;27,274347;0,11491073;0,016944941
Customizado ; Reminiscente ; BBGP ;109026,31;36,71125;762,74725;22,040478;0,6003739;0,018893925
Customizado ; Reminiscente ; BBGP ;108402,29;43,7675;753,6893;27,186213;0,6211507;0,023448685
Customizado ; Obliterante ; BBGP ;3359,8767;1,3245;593,97626;0,7806289;0,58937633;0,008394185
Customizado ; Persistente ; BBGP ;170080,03;233,4815;0;30,839788;0,13208665;0,018132515
Customizado ; Obliterante ; BBGP ;3872,377;1,37775;595,21;0;0;0
Customizado ; Persistente ; BBGP ;159937,17;216,2475;0;24,714836;0,11428958;0,01545284
Customizado ; Reminiscente ; BBGP ;107207,64;38,09725;694,8583;18,366417;0,48209295;0,016088843
Customizado ; Persistente ; BBGP ;175060,5;242,063;0;30,756517;0,12705997;0,01756908
Customizado ; Reminiscente ; BBGP ;90419,984;44,89725;540,62;26,901413;0,5991773;0,028073134
Customizado ; Obliterante ; BBGP ;3067,769;1,3845;604,665;1,8981112;1,3709723;0,020825367
Customizado ; Persistente ; BBGP ;165274,25;234,81725;0;30,57809;0,1302208;0,018501425
Customizado ; Reminiscente ; BBGP ;114725,65;35,1125;875,4375;25,974728;0,7397573;0,02103557
Customizado ; Obliterante ; BBGP ;3259,9126;1,37175;581,878;0,85762835;0,6252075;0,009446606
Customizado ; Reminiscente ; BBGP ;112080,48;39,78925;661,54224;21,729862;0,546124;0,018307174
Customizado ; Obliterante ; BBGP ;3484,9802;1,31675;554,85626;2,135843;1,6220566;0,02364347
Customizado ; Persistente ; BBGP ;174350,75;231,85625;0;27,930359;0,120464124;0,016019639
Customizado ; Persistente ; BBGP ;154920,83;227,73;0;30,977436;0,13602704;0,019995656
Customizado ; Reminiscente ; BBGP ;111912,484;42,4685;673,402;26,187614;0,6166362;0,022071965
Customizado ; Obliterante ; BBGP ;3628,9563;1,37275;589,84827;1,3041785;0,950048;0,013688658
Customizado ; Obliterante ; BBGP ;3522,1272;1,336;597,1157;0,45451805;0,34020814;0,004787785
Customizado ; Reminiscente ; BBGP ;118359,15;35,3055;809,9135;26,254318;0,74363256;0,02076125
Customizado ; Persistente ; BBGP ;158239,27;233,17876;0;29,619274;0,12702389;0,01871803
Customizado ; Persistente ; BBGP ;177291,58;239,42825;0;30,005783;0,12532265;0,01692454
Customizado ; Obliterante ; BBGP ;3314,706;1,35275;586,96075;2,1654546;1,6007797;0,023577752
Customizado ; Reminiscente ; BBGP ;106179,26;43,152;739,019;23,073635;0,53470606;0,020316763
Customizado ; Persistente ; BBGP ;183120,61;234,657;0;28,34759;0,12080436;0,015480284
Customizado ; Reminiscente ; BBGP ;123969,18;52,58325;663,98676;24,819675;0,47200727;0,01900303
Customizado ; Obliterante ; BBGP ;3451,7573;1,38125;606,344;1,168987;0,84632546;0,012285474
Customizado ; Persistente ; BBGP ;172093,31;240,2415;0;24,960672;0,10389826;0,01450415
Customizado ; Reminiscente ; BBGP ;124246,234;55,08775;605,92725;22,245214;0,40381417;0,017071584
Customizado ; Obliterante ; BBGP ;3252,379;1,39375;589,909;0,92790395;0,6657607;0,010139399
Customizado ; Persistente ; BBGP ;167795,97;242,1795;0;32,81133;0,1354835;0,0195543
Customizado ; Obliterante ; BBGP ;3430,5566;1,3575;623,45123;1,3823923;1,0183369;0,014302975
Customizado ; Reminiscente ; BBGP ;92512,24;35,542;738,3205;30,147451;0,84822047;0,030179005
Customizado ; Persistente ; BBGP ;172884,52;241,1;0;28,412542;0,11784547;0,016434405
Customizado ; Obliterante ; BBGP ;3245,4841;1,364;609,85876;1,3560865;0,9941983;0,014512799
Customizado ; Reminiscente ; BBGP ;106376,445;35,7525;919,79474;20,39597;0,5704768;0,017647482
Customizado ; Reminiscente ; BBGP ;142105,42;37,13775;941,7445;28,051804;0,75534475;0,018513247
Customizado ; Persistente ; BBGP ;172984,28;241,9565;0;32,99974;0,13638708;0,019076727
Customizado ; Obliterante ; BBGP ;3876,7395;1,4315;622,162;0,64567536;0,4510481;0,006393864
Customizado ; Reminiscente ; BBGP ;124337,76;49,6215;641,16675;25,052391;0,5048697;0,019160613
Customizado ; Obliterante ; BBGP ;3459,7717;1,424;606,79;1,6699996;1,1727525;0,017527888
Customizado ; Persistente ; BBGP ;172814,11;235,937;0;29,221539;0,12385314;0,016909232
Customizado ; Persistente ; BBGP ;189699,92;236,33925;0;23,853563;0,100929335;0,012574367
Customizado ; Obliterante ; BBGP ;3337,5332;1,3355;597,678;0,52035224;0,38963103;0,005586588
Customizado ; Reminiscente ; BBGP ;107567,61;35,95;783,47125;19,528942;0,5432251;0,016922487
Customizado ; Reminiscente ; BBGP ;87764,586;47,02625;398,29974;23,103518;0,49128982;0,025181608
Customizado ; Obliterante ; BBGP ;3322,2937;1,38725;597,4915;1,3110673;0,94508374;0,014101731
Customizado ; Persistente ; BBGP ;158611,9;230,66225;0;27,390606;0,118747674;0,017268946
Customizado ; Obliterante ; BBGP ;3193,2668;1,31725;560,119;1,231141;0,9346297;0,013999056
Customizado ; Persistente ; BBGP ;164819,03;223,887;0;28,000044;0,12506329;0,016988356
Customizado ; Reminiscente ; BBGP ;102373,86;39,96475;651,383;21,65605;0,5418788;0,019888429
Customizado ; Persistente ; BBGP ;161496,14;243,2235;0;33,18032;0,13641906;0,020545581
Customizado ; Obliterante ; BBGP ;3460,6458;1,4005;608,681;1,3682034;0,9769392;0,014330555
Customizado ; Reminiscente ; BBGP ;125648,11;41,9715;914,04175;30,475576;0,7261017;0,022609917
Customizado ; Persistente ; BBGP ;180183,58;238,7225;0;29,231192;0,122448415;0,016223006
Customizado ; Reminiscente ; BBGP ;111371,86;48,875;605,93524;24,751621;0,50642705;0,02107755
Customizado ; Obliterante ; BBGP ;3477,6633;1,452;633,159;0,22859037;0,15743138;0,002330355
Customizado ; Reminiscente ; BBGP ;111811,49;43,722;658,7445;25,11899;0,57451606;0,021215552
Customizado ; Obliterante ; BBGP ;3709,0583;1,338;589,2865;0,6136629;0,45864192;0,006391041
Customizado ; Persistente ; BBGP ;155343,9;225,71025;0;28,996664;0,12846853;0,018666111
Customizado ; Obliterante ; BBGP ;3597,9348;1,37425;602,34326;0;0;0
Customizado ; Reminiscente ; BBGP ;125062,26;40,90425;832,6205;25,24382;0,61714417;0,01892504
Customizado ; Persistente ; BBGP ;170234,73;230,8225;0;29,592178;0,12820318;0,01738316
Customizado ; Reminiscente ; BBGP ;117437,266;43,11975;662,0012;23,385738;0,542344;0,018850757
Customizado ; Persistente ; BBGP ;178713,47;242,70474;0;28,985516;0,11942707;0,016218988
Customizado ; Obliterante ; BBGP ;3771,3096;1,3685;623,7667;0,86477345;0,63191336;0,008639979
Customizado ; Persistente ; BBGP ;153414,69;231,81026;0;32,03186;0,13818137;0,020879265
