SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 2027128,6 ; 134,05576 ; 704,9592 ; 15,966555 ; 0,119103834 ; 7,8491424E-4
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 66816,09 ; 2,2015 ; 1448,2472 ; 0,0 ; 0,0 ; 0,0
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 1293828,1 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 0,001570962
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 1293828,1 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 0,001570962
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 1393329,0 ; 108,75825 ; 91524,34 ; 3,6208937 ; 0,03329305 ; 1,5684558E-4
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 646907,75 ; 49,93575 ; 1012,8577 ; 0,13526896 ; 0,00270886 ; 2,0587744E-5
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 77655,28 ; 4,3 ; 1106,4277 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 81386,78 ; 2,66675 ; 1702,4222 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 1293828,1 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 0,001570962
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 190206,92 ; 30,84725 ; 31943,736 ; 0,360683 ; 0,011692549 ; 7,077151E-5
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 2125146,2 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 9,5643057E-4
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ; 2125146,2 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 9,5643057E-4
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 541912,7 ; 33,4685 ; 34510,754 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 2125146,2 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 9,5643057E-4
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 1893122,5 ; 112,68825 ; 135154,66 ; 8,0079155 ; 0,071062565 ; 2,4680223E-4
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 32917,367 ; 1,699 ; 963,81573 ; 0,0 ; 0,0 ; 0,0
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 12434,624 ; 1,998 ; 857,823 ; 0,0 ; 0,0 ; 0,0
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 41824,54 ; 1,784 ; 899,474 ; 0,0 ; 0,0 ; 0,0
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 49704,176 ; 2,20225 ; 1627,1052 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 1839769,0 ; 107,71825 ; 138699,23 ; 7,7592516 ; 0,07203285 ; 2,4046561E-4
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 26281,479 ; 1,602 ; 887,706 ; 0,0 ; 0,0 ; 0,0
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ; 2125146,2 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 9,5643057E-4
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 10066,484 ; 1,62525 ; 863,08374 ; 0,0 ; 0,0 ; 0,0
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 620517,3 ; 101,92975 ; 118309,28 ; 5,57885 ; 0,0547323 ; 3,0931577E-4
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 11583,325 ; 1,832 ; 878,669 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 32739,82 ; 1,7225 ; 1021,641 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 86041,77 ; 4,21375 ; 1009,93 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 1293828,1 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 0,001570962
