modeloDeRelevancia;tipoDeMemoria;tipoDeRaciocinio;comparacoes;memoria;movimentacoes;utilidade;eficienciaCpu;eficienciaMemoria
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;400272,72;53,27875;32832,65;300,25247;5,6355014;0,041209552
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;7436,681;1,62325;597,81177;102,29642;63,01951;0,76256394
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;146760,56;32,39375;446,4515;721,2135;22,263971;0,47691396
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;48504,125;10,332;605,247;409,30185;39,614967;0,7502335
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;4078,4404;1,653;583,01074;8,129748;4,918178;0,08204783
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;234552,62;230,80675;0;1085,7565;4,70418;0,4629053
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;4639,531;1,88725;581,945;46,613064;24,698935;0,44567502
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;74736,68;13,50625;9620,182;493,98444;36,574505;0,28898373
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;8179,387;1,73775;609,26575;14,463261;8,322981;0,101339795
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3901,933;1,56825;595,6293;9,755714;6,220765;0,09896013
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;9011,528;1,4835;587,6555;9,755714;6,576147;0,06552699
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;234552,62;230,80675;0;1263,9072;5,476041;0,5388587
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;9767,814;1,48775;668,127;9,755714;6,557361;0,059308555
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;8921,341;1,45325;616,3818;17,89477;12,313621;0,118625
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;60782,516;9,912;4634,104;202,18834;20,39834;0,18874311
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;234552,62;230,80675;0;635,2387;2,7522535;0,27082992
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;160770,27;230,80675;0;655,2596;2,8389966;0,4075751
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;11968,507;1,7755;663,115;86,60012;48,77506;0,46560064
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;11068,465;1,853;591,535;51,15098;27,604414;0,30117488
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;190314,22;230,80675;0;712,0481;3,08504;0,37414342
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;161817,73;24,319;1417,041;1022,24786;42,034946;0,5808618
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;8574,473;1,68725;644,45526;44,106247;26,140907;0,29366916
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;234552,62;230,80675;0;747,1947;3,2373173;0,31856164
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;95868,91;16,978;12552,24;265,80734;15,655986;0,12006223
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;10735,932;1,67925;635,90875;50,668816;30,17348;0,29639518
