relevancia;persistencia;raciocinio;comparacoes;crencasAtivas;movimentacoes;utilidade;cpu;memoria
Customizado ; Reminiscente ; BBGP ;60862,9;15,944;1007,64526;16,65709;1,0447246;0,023480747
Customizado ; Persistente ; BBGP ;177441,8;234,25375;0;29,330126;0,12520663;0,016529435
Customizado ; Obliterante ; BBGP ;3618,941;1,4885;578,729;1,6121591;1,0830764;0,017139269
Customizado ; Persistente ; BBGP ;165407,08;225,939;0;22,94769;0,10156586;0,013873462
Customizado ; Obliterante ; BBGP ;3754,9202;1,54175;576,7518;0;0;0
Customizado ; Reminiscente ; BBGP ;44456,52;18,22475;765,7382;8,939965;0,4905398;0,017154664
Customizado ; Obliterante ; BBGP ;4299,886;1,551;585,139;0;0;0
Customizado ; Reminiscente ; BBGP ;67571,76;16,1345;1128,1835;11,062081;0,6856166;0,014028633
Customizado ; Persistente ; BBGP ;158924,83;225,81175;0;25,401066;0,11248779;0,01598307
Customizado ; Reminiscente ; BBGP ;71135,555;19,33;1072,746;13,059994;0,67563343;0,015953472
Customizado ; Persistente ; BBGP ;171305,27;236,364;0;30,178898;0,12767975;0,01761703
Customizado ; Obliterante ; BBGP ;3799,3618;1,52375;559,8862;0;0;0
Customizado ; Obliterante ; BBGP ;4000,5837;1,5265;578,15576;0;0;0
Customizado ; Persistente ; BBGP ;163328,8;230,8115;0;25,461868;0,11031456;0,015589331
Customizado ; Reminiscente ; BBGP ;56969,504;20,20825;780,75476;6,8993955;0,34141478;0,010650988
Customizado ; Obliterante ; BBGP ;4027,257;1,49825;580,4065;1,0495118;0,7004918;0,010675184
Customizado ; Reminiscente ; BBGP ;52142,516;15,3905;857,69824;4,5060616;0,292782;0,007421111
Customizado ; Persistente ; BBGP ;174148;230,8475;0;28,593603;0,1238636;0,01641914
Customizado ; Reminiscente ; BBGP ;66842,38;22,924;930,0045;14,190325;0,6190161;0,018636554
Customizado ; Obliterante ; BBGP ;3796,8892;1,5795;581,2105;0,32878017;0,20815459;0,003421588
Customizado ; Persistente ; BBGP ;184987,7;240,4965;0;27,495428;0,114327766;0,014863381
Customizado ; Persistente ; BBGP ;176015,53;235,03775;0;31,941166;0,13589802;0,018146789
Customizado ; Reminiscente ; BBGP ;37836,406;10,6105;888,3273;11,753446;1,1077183;0,025157377
Customizado ; Obliterante ; BBGP ;4278,109;1,55875;608,78577;1,2723684;0,8162748;0,01227448
Customizado ; Persistente ; BBGP ;170628,48;237,49275;0;29,380117;0,12370953;0,017218765
