relevanceModel;memoryStrategy;engine;storing;retrieving;oblivion;comparisions;activeBeliefs;pages;utilitySum;cpuEfficiency;memEfficiency
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;60862,9;15,944;1007,64526;16,65709;1,0447246;0,023480747
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;177441,8;234,25375;0;29,330126;0,12520663;0,016529435
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;3618,941;1,4885;578,729;1,6121591;1,0830764;0,017139269
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;165407,08;225,939;0;22,94769;0,10156586;0,013873462
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;3754,9202;1,54175;576,7518;0;0;0
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;44456,52;18,22475;765,7382;8,939965;0,4905398;0,017154664
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;4299,886;1,551;585,139;0;0;0
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;67571,76;16,1345;1128,1835;11,062081;0,6856166;0,014028633
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;158924,83;225,81175;0;25,401066;0,11248779;0,01598307
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;71135,555;19,33;1072,746;13,059994;0,67563343;0,015953472
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;171305,27;236,364;0;30,178898;0,12767975;0,01761703
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;3799,3618;1,52375;559,8862;0;0;0
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;4000,5837;1,5265;578,15576;0;0;0
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;163328,8;230,8115;0;25,461868;0,11031456;0,015589331
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;56969,504;20,20825;780,75476;6,8993955;0,34141478;0,010650988
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;4027,257;1,49825;580,4065;1,0495118;0,7004918;0,010675184
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;52142,516;15,3905;857,69824;4,5060616;0,292782;0,007421111
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;174148;230,8475;0;28,593603;0,1238636;0,01641914
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;66842,38;22,924;930,0045;14,190325;0,6190161;0,018636554
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;3796,8892;1,5795;581,2105;0,32878017;0,20815459;0,003421588
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;184987,7;240,4965;0;27,495428;0,114327766;0,014863381
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;176015,53;235,03775;0;31,941166;0,13589802;0,018146789
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;37836,406;10,6105;888,3273;11,753446;1,1077183;0,025157377
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;4278,109;1,55875;608,78577;1,2723684;0,8162748;0,01227448
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;170628,48;237,49275;0;29,380117;0,12370953;0,017218765
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;35141,15;12,503;908,50574;10,766923;0,86114717;0,024345119
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;3718,9294;1,45675;596,8143;0,4177267;0,2867525;0,004312208
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;4513,606;1,64;588,2445;2,3687289;1,4443469;0,022784892
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;49339,035;19,7105;614,965;8,149551;0,41346243;0,01468687
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;162574,52;231,31975;0;29,667017;0,12825112;0,018248258
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;47632,02;16,76375;896,9418;9,1237;0,54425174;0,016119203
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;4642,338;1,66875;600,67523;1,4178404;0,84964216;0,013314193
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;167945,34;226,2685;0;26,74092;0,11818225;0,015922394
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;92355,93;22,96725;1298,0973;16,84502;0,7334365;0,015991567
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;170237,6;234,587;0;31,510534;0,13432345;0,01850974
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;4223,08;1,635;605,2927;0,72861624;0,44563684;0,007090461
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;177778,98;245,1745;0;26,394737;0,10765694;0,014846939
