relevancia;persistencia;raciocinio;comparacoes;crencasAtivas;movimentacoes;utilidade;cpu;memoria
Customizado ; Persistente ; BBGP ;140516,89;197,4065;0;29,843588;0,15117835;0,021238435
Customizado ; Reminiscente ; BBGP ;74709;44,87;385,142;23,142996;0,51577884;0,029458849
Customizado ; Obliterante ; BBGP ;4119,7734;1,981;422,383;0,43508786;0,21963042;0,005214628
Customizado ; Reminiscente ; BBGP ;69513,68;36,4045;427,623;15,291683;0,42004928;0,020723272
Customizado ; Obliterante ; BBGP ;4045,0544;1,9905;426,4045;0,9564219;0,4804933;0,011510536
Customizado ; Persistente ; BBGP ;168228,75;204,514;0;27,898977;0,13641597;0,016583953
Customizado ; Reminiscente ; BBGP ;56833,773;35,649;348,5115;17,061726;0,4786032;0,028285878
Customizado ; Persistente ; BBGP ;120874,29;181,7075;0;27,775282;0,1528571;0,02297865
Customizado ; Obliterante ; BBGP ;3236,609;1,6705;398,244;1,5569583;0,9320313;0,021567361
Customizado ; Obliterante ; BBGP ;3168,909;1,528;429,0695;0;0;0
Customizado ; Persistente ; BBGP ;150083,9;198,3625;0;29,919212;0,15083098;0,01993499
Customizado ; Reminiscente ; BBGP ;61798,844;39,488;423,6265;15,292055;0,3872583;0,023157462
Customizado ; Reminiscente ; BBGP ;70907,61;40,3515;388,492;21,055756;0,5218085;0,028152218
Customizado ; Obliterante ; BBGP ;4291,47;1,8365;431,6485;1,4419792;0,7851778;0,016751705
Customizado ; Persistente ; BBGP ;150549,47;196,6095;0;28,237013;0,14361978;0,018755969
Customizado ; Reminiscente ; BBGP ;76142,29;42,475;414,6035;17,553257;0,4132609;0,021862777
Customizado ; Obliterante ; BBGP ;3413,4805;1,9425;414,78;1,307263;0,67297965;0,017288912
Customizado ; Persistente ; BBGP ;142570,03;199,371;0;26,815792;0,13450196;0,018808855
Customizado ; Persistente ; BBGP ;150618,25;205,773;0;31,153646;0,15139812;0,020683846
Customizado ; Reminiscente ; BBGP ;84541,805;46,5215;352,648;22,878805;0,49178994;0,025978485
Customizado ; Obliterante ; BBGP ;3982,94;1,774;420,0515;1,3475116;0,75958943;0,016466292
Customizado ; Reminiscente ; BBGP ;78070,91;39,8445;399,6535;21,923975;0,55023843;0,026714584
Customizado ; Persistente ; BBGP ;164191,34;205,5615;0;30,076797;0,14631534;0,018318137
Customizado ; Obliterante ; BBGP ;4012,984;1,8255;438,9575;0,36501268;0,19995217;0,004344066
Customizado ; Persistente ; BBGP ;133067,4;197,5845;0;28,828005;0,14590216;0,021664212
Customizado ; Obliterante ; BBGP ;4471,879;2,149;428,2465;1,0578704;0,4922617;0,012083949
Customizado ; Reminiscente ; BBGP ;79952,195;44,1445;406,0665;20,327688;0,46048066;0,024195924
Customizado ; Reminiscente ; BBGP ;76919,93;46,1455;373,093;18,395014;0,3986307;0,022808205
Customizado ; Obliterante ; BBGP ;4333;1,9885;436,904;0,43439713;0,21845467;0,0049919
Customizado ; Persistente ; BBGP ;132390,27;203,323;0;28,770494;0,14150143;0,02173158
Customizado ; Reminiscente ; BBGP ;61523,402;36,1435;397,0245;14,684649;0,4062874;0,022421487
Customizado ; Persistente ; BBGP ;126551,83;194,5385;0;24,355492;0,12519626;0,019245468
Customizado ; Obliterante ; BBGP ;3331,5835;1,668;419,798;0,5121832;0,30706427;0,006802296
Customizado ; Persistente ; BBGP ;159976,6;200,792;0;27,335888;0,13614032;0,01708743
Customizado ; Obliterante ; BBGP ;4279,979;2,066;446,082;1,8248545;0,883279;0,020877434
Customizado ; Reminiscente ; BBGP ;87297,03;44,888;396,194;15,27196;0,34022367;0,016734751
Customizado ; Reminiscente ; BBGP ;79656,76;50,197;347,7135;18,962997;0,37777153;0,022810189
Customizado ; Persistente ; BBGP ;144734,97;203,212;0;27,966843;0,13762397;0,019322796
Customizado ; Obliterante ; BBGP ;3202,3665;1,726;418,8135;0,9806611;0,56816983;0,013269208
Customizado ; Persistente ; BBGP ;150040,08;194,417;0;26,251818;0,1350284;0,017496537
Customizado ; Reminiscente ; BBGP ;82327,19;41,039;397,344;12,5738735;0,30638838;0,014569852
Customizado ; Obliterante ; BBGP ;4347,6475;1,8605;426,542;0,07640033;0,041064408;8,87E-04
Customizado ; Reminiscente ; BBGP ;73730,734;45,0425;351,898;21,779507;0,48353237;0,028193641
