modeloDeRelevancia;tipoDeMemoria;tipoDeRaciocinio;comparacoes;memoria;movimentacoes;utilidade;eficienciaCpu;eficienciaMemoria
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;333163,84;61,5095;78171,055;11,276014;0,1833215;0,001011416
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;245381,42;232,4195;0;27,432543;0,1180303;0,011179552
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3371,4336;1,323;571,04877;0,29862565;0,22571856;0,003288133
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;17042,902;2,9495;620,324;0,37862733;0,12837;0,001628775
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3515,8152;1,3765;569,26;0,17305943;0,12572426;0,001879362
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;7123,179;1,397;720,421;0,16486813;0,11801585;0,00115072
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3705,983;1,40625;578,5355;0,28855765;0,20519654;0,003040221
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;47935,87;8,485;590,518;2,3527503;0,2772835;0,004369807
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;8425,914;1,39425;590,4053;0,313264;0,22468281;0,002186076
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;189706,02;61,25625;275,52826;25,466747;0,4157412;0,01323214
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;4339,735;1,41125;698,0855;0,4801501;0,34023038;0,004241388
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;11390,139;3,415;681,2995;0,90434885;0,26481664;0,004968095
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;245381,42;232,4195;0;27,432543;0,1180303;0,011179552
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;245381,42;232,4195;0;27,432543;0,1180303;0,011179552
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;78202,9;7,318;4857,783;0,29870078;0,040817272;2,36E-04
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;199567,98;49,19425;68913,984;11,408276;0,23190263;0,001283692
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;245381,42;232,4195;0;27,432543;0,1180303;0,011179552
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;8188,046;1,33775;591,89276;0,29870078;0,22328596;0,002117398
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;245355,34;60,0735;82558,11;11,574287;0,19266877;0,001080763
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;5717,8247;1,34675;569,7815;0,22739255;0,1688454;0,001991939
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;5627,083;1,32225;579,007;0,34790277;0,2631142;0,003047193
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3574,1606;1,3335;610,556;0,29862565;0,22394124;0,003085065
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;151672,08;34,77525;442,8175;15,094672;0,43406367;0,009669857
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;148651,5;33,23975;448,58826;15,202461;0,45735788;0,009927335
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;140083,5;61,2585;276,87;25,466175;0,4157166;0,017826939
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;7888,128;1,3535;568,4165;0,34790277;0,25703937;0,002563331
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;4235,145;1,54675;585,073;0,32996246;0,2133263;0,00327153
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;6941,543;1,54975;598,5148;0,29870078;0,19274127;0,002310729
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;8139,555;1,35875;585,79126;0,43528256;0,32035515;0,003109724
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;245381,42;232,4195;0;27,432543;0,1180303;0,011179552
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;7637,41;1,3175;570,2698;0,34790277;0,26406282;0,002607946
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;140200,14;61,2545;274,8785;25,4668;0,41575396;0,017815316
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3989,728;1,37625;673,5043;0,28855765;0,2096695;0,002690572
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;107104,516;34,0515;465,54626;16,753601;0,49200776;0,014990699
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;4417,2993;1,4445;718,3585;0,34790277;0,24084651;0,002998933
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3646,1282;1,35425;616,5928;0,34790277;0,25689703;0,003545666
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;5777,535;1,35175;567,93976;0,33775964;0,24986842;0,002948081
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;245381,42;232,4195;0;27,432543;0,1180303;0,011179552
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;203961,44;56,58825;2239,7747;23,771038;0,4200702;0,010501468
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3476,9517;1,33925;566,5815;0,33775964;0,2522006;0,003694283
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;5738,8716;1,3475;573,0637;0,27651814;0,20520827;0,002410898
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;197296,6;232,4195;0;27,432543;0,1180303;0,013904216
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3967,759;1,3845;630,6245;0,34790277;0,25128406;0,003386243
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;170485,69;232,4195;0;27,432543;0,1180303;0,01609082
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;5864,331;1,374;570,4227;0,33775964;0,24582216;0,002919635
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6707,222;1,557;566,8923;0,33775964;0,21692976;0,002729118
