relevancia;persistencia;raciocinio;comparacoes;crencasAtivas;movimentacoes;utilidade;cpu;memoria
Linha base ; Reminiscente ; SOAR ;38472,453;32,1665;138,39325;15,457454;0,4805451;0,038782876
Linha base ; Obliterante ; BDI ;2677,484;1,223;331,12125;0,8723046;0,71324986;0,014565852
Linha base ; Obliterante ; BDI ;2875,8538;1,20325;334,816;1,75964;1,4624059;0,028271789
Linha base ; Reminiscente ; BDI ;36626,96;4,93525;2317,2332;0,94581544;0,19164489;0,00158165
Linha base ; Persistente ; SOAR ;65197,543;125,98;0;15,156657;0,12031002;0,023247283
Linha base ; Obliterante ; SOAR ;4482,425;1,247;335,37024;1,298367;1,0411925;0,016568989
Linha base ; Reminiscente ; BBGP ;28113,37;28,59625;222,15225;14,642227;0,5120331;0,048268598
Linha base ; Reminiscente ; SOAR ;54460,266;28,58525;225,20375;14,641201;0,5121943;0,025816621
Linha base ; Obliterante ; BBGP ;1908,5878;1,2235;386,9585;1,7664926;1,4438027;0,03057182
Linha base ; Persistente ; BDI ;50262,004;125,98;0;15,156657;0,12031002;0,0301553
Linha base ; Persistente ; BBGP ;43041,586;125,98;0;15,156657;0,12031002;0,035213985
Linha base ; Obliterante ; BDI ;3223,6694;1,25125;350,79376;0;0;0
Linha base ; Obliterante ; BBGP ;1949,456;1,2195;369,2655;0;0;0
Linha base ; Persistente ; SOAR ;62665,332;125,2125;0;12,808417;0,10229344;0,020439398
Linha base ; Reminiscente ; BDI ;45066,547;8,884;5395,878;3,4076312;0,38356948;0,003441171
Linha base ; Persistente ; BDI ;50627,39;125,2125;0;12,808417;0,10229344;0,025299381
Linha base ; Reminiscente ; SOAR ;54896,344;22,88175;233,002;11,561264;0,50526136;0,020202689
Linha base ; Obliterante ; SOAR ;4339,348;1,25975;347,25375;0,13650896;0,108361945;0,001747452
Linha base ; Persistente ; BBGP ;44544,508;125,2125;0;12,808417;0,10229344;0,028754199
Linha base ; Reminiscente ; BBGP ;30392,62;23,1665;234,10675;11,494356;0,49616283;0,03511476
Linha base ; Obliterante ; BBGP ;1914,2025;1,243;392,56226;0,43542728;0,3503035;0,00745617
Linha base ; Reminiscente ; SOAR ;51126,344;26,26025;189,1395;13,329741;0,50760144;0,025142038
Linha base ; Reminiscente ; BDI ;34735,12;5,43325;2879,8228;0;0;0
Linha base ; Persistente ; BDI ;51801,035;129,854;0;13,815275;0,10639083;0,026669882
Linha base ; Persistente ; BBGP ;46718,84;129,854;0;13,815275;0,10639083;0,0295711
Linha base ; Reminiscente ; BBGP ;27108,506;26,26675;189,1325;13,329624;0,5074714;0,04596449
Linha base ; Obliterante ; SOAR ;4137,363;1,24175;347,0025;0,43542728;0,35065615;0,005723742
Linha base ; Obliterante ; BDI ;2693,106;1,21825;345,151;0,43542728;0,3574203;0,007086322
Linha base ; Persistente ; SOAR ;69879,38;129,854;0;13,815275;0,10639083;0,019770173
Linha base ; Persistente ; BDI ;59825,277;131,16576;0;12,855103;0,09800655;0,021487745
Linha base ; Persistente ; BBGP ;51794,05;131,16576;0;12,855103;0,09800655;0,024819652
Linha base ; Reminiscente ; BDI ;14631,487;3,2635;1337,3824;0,99634683;0,3053001;0,003557707
Linha base ; Obliterante ; BDI ;2910,9758;1,1905;371,95;0;0;0
Linha base ; Obliterante ; BBGP ;2146,4902;1,27125;419,99725;0;0;0
Linha base ; Reminiscente ; SOAR ;58111,09;39,1565;157,63326;12,299175;0,314103;0,020605974
Linha base ; Persistente ; SOAR ;73111,484;131,16576;0;12,855103;0,09800655;0,017582877
Linha base ; Obliterante ; SOAR ;4462,7686;1,26725;373,36624;0;0;0
Linha base ; Reminiscente ; BBGP ;33004,797;39,15825;158,6815;12,303289;0,31419405;0,03556726
Linha base ; Reminiscente ; BDI ;32995,605;6,71875;4980,799;2,5145652;0,37426087;0,003036783
Linha base ; Obliterante ; BBGP ;1836,0833;1,2325;395,249;0;0;0
Linha base ; Obliterante ; SOAR ;4668,548;1,27975;370,41974;0;0;0
Linha base ; Persistente ; BDI ;61395,066;130,2615;0;13,699173;0,1051667;0,022313148
Linha base ; Persistente ; BBGP ;46910,64;130,2615;0;13,699173;0,1051667;0,029202698
Linha base ; Obliterante ; BDI ;3361,1375;1,22675;366,61874;0;0;0
Linha base ; Reminiscente ; SOAR ;53809,277;30,7195;207,61424;13,382193;0,43562534;0,023945767
Linha base ; Persistente ; SOAR ;75706,02;130,2615;0;13,699173;0,1051667;0,018095221
Linha base ; Reminiscente ; BBGP ;28738,973;30,742;205,12074;13,381868;0,43529594;0,043461483
Linha base ; Persistente ; BBGP ;46799,625;126,459;0;17,047077;0,13480319;0,036425672
Linha base ; Persistente ; BDI ;53045,074;126,459;0;17,047077;0,13480319;0,032136966
Linha base ; Obliterante ; BDI ;2959,7173;1,19425;344,66626;0,81752557;0,6845515;0,012761116
Linha base ; Reminiscente ; SOAR ;46052,113;26,19525;199,91;16,594955;0,6335101;0,034535974
Linha base ; Obliterante ; SOAR ;4016,076;1,20425;343,61325;0,8754112;0,7269348;0,011747004
Linha base ; Reminiscente ; BDI ;47142,715;6,187;1513,1787;1,2714581;0,2055048;0,002041699
Linha base ; Reminiscente ; BBGP ;24293,37;26,18525;199,438;16,594492;0,63373435;0,06312633
Linha base ; Persistente ; SOAR ;64145,08;126,459;0;17,047077;0,13480319;0,026575815
Linha base ; Obliterante ; BBGP ;1784,6112;1,22525;375,371;0,88282627;0,72052747;0,015940322
Linha base ; Obliterante ; SOAR ;4546,563;1,309;350,72174;0;0;0
Linha base ; Reminiscente ; BBGP ;31684,924;42,81;123,54125;11,179393;0,26113975;0,033958927
Linha base ; Persistente ; BDI ;56853,824;126,9325;0;11,910045;0,09382975;0,020948539
Linha base ; Obliterante ; BBGP ;2057,6646;1,27375;388,026;0;0;0
Linha base ; Reminiscente ; SOAR ;48525,715;42,80825;124,1345;11,092736;0,25912613;0,022289315
Linha base ; Obliterante ; BDI ;3156,3235;1,27875;345,94876;0;0;0
Linha base ; Reminiscente ; BDI ;41104,395;15,601;7356,476;5,9644003;0,38230884;0,005201399
Linha base ; Persistente ; BBGP ;48857,305;126,9325;0;11,910045;0,09382975;0,024377204
Linha base ; Persistente ; SOAR ;66367,73;126,9325;0;11,910045;0,09382975;0,017945537
Linha base ; Persistente ; BDI ;59869,168;129,06274;0;14,208992;0,110093676;0,023733404
Linha base ; Obliterante ; BDI ;3360,7473;1,20475;358,3955;0,82088745;0,6813758;0,011820341
Linha base ; Obliterante ; BBGP ;2021,764;1,2255;380,02124;0,87305146;0,7124043;0,014995791
Linha base ; Obliterante ; SOAR ;4496,492;1,25425;359,204;0,82088745;0,6544847;0,010148781
Linha base ; Persistente ; BBGP ;50126,984;129,06274;0;14,208992;0,110093676;0,028345993
Linha base ; Persistente ; SOAR ;69981,25;129,06274;0;14,208992;0,110093676;0,020303998
