modeloDeRelevancia;tipoDeMemoria;tipoDeRaciocinio;comparacoes;memoria;movimentacoes;utilidade;eficienciaCpu;eficienciaMemoria
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;5917,605;1,38825;562,0705;0,35053852;0,2525039;0,00303804
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6854,57;1,584;578,5645;0,35053852;0,22129957;0,002773201
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;7325,5254;1,65575;603,5693;0,86773586;0,5240742;0,006494437
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;175994,39;56,87325;307,4955;21,883253;0,38477233;0,012220547
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;9925,55;1,49325;679,69525;0,30812666;0,20634633;0,001842587
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;157671,52;230,47975;0;24,986519;0,10841091;0,015847199
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;96966,74;57,82675;305,029;21,69818;0,37522736;0,021694483
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;148991,47;32,404;496,9475;12,970018;0,4002598;0,008424226
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;37956,793;7,92475;585,62274;2,7062533;0,34149384;0,006176825
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;4097,5386;1,61825;566,7105;0,15725781;0,0971777;0,001610482
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;78505,26;24,53475;23459,436;5,4450665;0,22193283;0,001739084
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;49836,613;9,942;4346,4775;1,3435043;0,1351342;0,001439962
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;4066,1245;1,51225;568,328;0,8672249;0,5734666;0,008895158
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;56475,992;14,7115;671,064;5,3618855;0,364469;0,00848579
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;223768,83;230,47975;0;24,986519;0,10841091;0,01116622
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3712,1714;1,4485;570,35724;0,35002753;0,24164827;0,003717471
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;223768,83;230,47975;0;24,986519;0,10841091;0,01116622
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;314595,2;64,42025;70186;11,253538;0,17468946;0,001107136
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;157671,52;230,47975;0;24,986519;0,10841091;0,015847199
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;223768,83;230,47975;0;24,986519;0,10841091;0,01116622
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;223768,83;230,47975;0;24,986519;0,10841091;0,01116622
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;182469,11;58,05925;308,59525;21,658089;0,37303424;0,011672054
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;9933,946;1,63125;612,46277;0,35053852;0,21488951;0,002182875
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;110982,04;33,75525;470,22125;11,61921;0,34421936;0,0100439
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;11669,786;1,57125;749,92676;0,30787116;0,19594029;0,001606084
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;223768,83;230,47975;0;24,986519;0,10841091;0,01116622
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;25032,469;12,624;561,439;2,9592402;0,23441383;0,009655933
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;223768,83;230,47975;0;24,986519;0,10841091;0,01116622
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;26978,598;14,04375;574,133;3,9204204;0,27915767;0,011981752
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;8094,502;1,3765;556,755;0,3082544;0,22394072;0,002256282
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;113845,01;40,754;415,348;17,506983;0,42957702;0,014836616
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;184134,9;24,8615;23414,617;5,131976;0,20642263;0,001226921
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;209466,58;60,25375;71426,64;11,647525;0,19330788;0,001260919
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;223768,83;230,47975;0;24,986519;0,10841091;0,01116622
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;157671,52;230,47975;0;24,986519;0,10841091;0,015847199
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;9622,652;1,64025;577,6205;0,35053852;0,21371043;0,002276393
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6391,544;1,43075;600,34125;0,3082544;0,21544951;0,002486934
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;381735,4;77,7355;47133,863;11,235368;0,1445333;0,001317045
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;83953,914;28,81325;18077,943;6,7744904;0,2351172;0,002558986
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;157671,52;230,47975;0;24,986519;0,10841091;0,015847199
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;49285,773;16,77675;816,775;12,468138;0,74317956;0,021701258
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6425,091;1,4695;579,3007;0,004726749;0,00321657;3,87E-05
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;8757,229;1,40975;603,938;0,35053852;0,24865296;0,002369046
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;89908,23;10,12025;4520,265;0,9959959;0,098416135;7,37E-04
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3762,3936;1,53375;557,9493;0,50779223;0,33107886;0,00543565
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;53390,664;18,50225;892,33875;11,576414;0,625676;0,018577533
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;8559,464;1,435;572,45526;0,35053852;0,24427773;0,002454061
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;215189,8;55,1115;1805,7025;20,677984;0,37520272;0,008865279
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;86062,86;25,99975;19425,62;6,0258794;0,23176682;0,00214965
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;157671,52;230,47975;0;24,986519;0,10841091;0,015847199
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;223768,83;230,47975;0;24,986519;0,10841091;0,01116622
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;186392,39;230,47975;0;24,986519;0,10841091;0,013405331
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;70439,86;10,811;2160,227;6,2214646;0,5754754;0,006759367
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;214568,19;60,50375;46495,83;10,309456;0,17039368;0,001517153
