relevanceModel;memoryStrategy;engine;storing;retrieving;oblivion;comparisions;activeBeliefs;pages;utilitySum;cpuEfficiency;memEfficiency
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;401613,78;63,28625;452,45026;21,929873;0,34651875;0,005399608
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;372838,97;278,983;0;25,308207;0,090715945;0,006787972
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;77896,414;13,809;752,35626;1,5092438;0,10929422;0,001766851
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;305348,25;272,0135;0;31,43313;0,115557246;0,010294191
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;11608,904;1,6145;682,8045;1,2267479;0,7598314;0,006653747
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;202817,98;83,78875;326,282;29,569384;0,352904;0,014348443
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;459224,06;272,0135;0;31,43313;0,115557246;0,006844835
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;28811,025;2,99075;744,02625;1,4326792;0,47903675;0,003952078
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;7904,1514;2,05575;718,015;1,1177893;0,54373795;0,007410282
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;18591,154;2,0615;680,5557;1,1918166;0,5781307;0,004692799
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;384612,6;83,8595;328,907;29,547213;0,3523419;0,007617191
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;382078,28;272,0135;0;31,43313;0,115557246;0,008226882
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;7624,3794;2,03625;730,671;0;0;0
