modeloDeRelevancia;tipoDeMemoria;tipoDeRaciocinio;comparacoes;memoria;movimentacoes;utilidade;eficienciaCpu;eficienciaMemoria
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;273072,8;66,31875;86491,695;16,021315;0,24158047;0,001407861
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;4090,5674;1,466;630,057;1,4847808;1,012811;0,014288914
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;9585,892;1,4385;721,72675;0,18792532;0,13063978;0,001118393
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;14204,646;3,48925;1100,0706;1,3119222;0,37598974;0,005204935
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;193737,1;230,38075;0;31,451117;0,13651799;0,016233915
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;163927,77;230,38075;0;31,451117;0,13651799;0,01918596
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;90926,875;8,66075;3280,3838;0,73589325;0,08496876;5,95E-04
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;193737,1;230,38075;0;31,451117;0,13651799;0,016233915
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6231,733;1,393;590,30225;1,2857997;0,9230436;0,010596008
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;4170,6978;1,5035;598,833;1,3218187;0,8791611;0,013011272
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;6012,614;1,3585;594,0353;2,0991094;1,545167;0,017561408
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;242382,9;230,38075;0;31,451117;0,13651799;0,012975798
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3743,4016;1,39475;603,07025;0,74677664;0,5354197;0,007640359
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;175446,97;53,54125;322,58124;30,29547;0,5658342;0,01695584
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;96674,555;25,80525;508,65024;12,342844;0,4783075;0,012129242
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;132026,58;53,6285;321,28574;30,37172;0,5663354;0,022457737
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;163927,77;230,38075;0;31,451117;0,13651799;0,01918596
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;6174,947;1,36225;599,5445;1,4039725;1,0306276;0,011535968
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;242382,9;230,38075;0;31,451117;0,13651799;0,012975798
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;163927,77;230,38075;0;31,451117;0,13651799;0,01918596
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;193737,1;230,38075;0;31,451117;0,13651799;0,016233915
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;97824,72;21,27725;20044,396;8,461335;0,3976705;0,002836817
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;200291,77;76,48675;61242,816;15,712205;0,20542389;0,001933286
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;193737,1;230,38075;0;31,451117;0,13651799;0,016233915
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;7704,959;1,727;651,5515;0,9336196;0,54060197;0,00656532
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;193737,1;230,38075;0;31,451117;0,13651799;0,016233915
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;163927,77;230,38075;0;31,451117;0,13651799;0,01918596
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;123288,195;54,64725;277,1105;29,65371;0,5426386;0,02352362
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;95100,74;26,6605;3065,763;19,907108;0,74668926;0,015829649
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;9703,883;1,6005;627,514;1,1985056;0,74883205;0,007500494
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;163927,77;230,38075;0;31,451117;0,13651799;0,01918596
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;10250,84;1,5235;720,76373;0,74677664;0,49017176;0,004277444
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3418,5957;1,32075;595,5563;0,67910486;0,51418126;0,007244436
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;173628,69;53,505;317,783;30,402988;0,56822705;0,017195627
