modeloDeRelevancia;tipoDeMemoria;tipoDeRaciocinio;comparacoes;memoria;movimentacoes;utilidade;eficienciaCpu;eficienciaMemoria
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;93043,14;21,982;1351,6785;15,804201;0,718961;0,014831281
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;6434,372;1,383;602,9175;0,94273245;0,6816576;0,007563918
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;4989,009;1,5235;846,039;1,425338;0,93556815;0,010597782
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;230828,17;242,9155;0;28,05938;0,115510866;0,012155959
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;162264,94;242,9155;0;28,05938;0,115510866;0,017292324
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ;123123,51;46,528;35724,61;8,242682;0,17715532;0,001715904
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3713,516;1,39725;612,534;1,3296068;0,9515883;0,013513836
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;230828,17;242,9155;0;28,05938;0,115510866;0,012155959
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;194844,64;242,9155;0;28,05938;0,115510866;0,014400899
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;3526,991;1,39175;592,3292;1,4333149;1,0298653;0,0151669
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;3841,574;1,3925;598,46875;0,9425282;0,67686045;0,00959193
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;8162,108;1,319;621,59076;0,9641382;0,7309615;0,006705641
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;18165,26;4,0735;655,0087;0,9641382;0,23668545;0,00390097
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;162264,94;242,9155;0;28,05938;0,115510866;0,017292324
