relevancia;persistencia;raciocinio;comparacoes;crencasAtivas;movimentacoes;utilidade;cpu;memoria
Customizado ; Persistente ; SOAR ;98453,56;175,68225;0;30,12445;0,17147122;0,030597623
Customizado ; Reminiscente ; SOAR ;49403,883;19,465;394,8325;25,097033;1,2893414;0,04704029
Customizado ; Obliterante ; SOAR ;4202,693;1,25525;453,002;2,128785;1,6959051;0,024377132
Customizado ; Reminiscente ; SOAR ;59688,67;23,28975;426,53024;25,698635;1,1034312;0,040183015
Customizado ; Persistente ; SOAR ;92906,3;183,79276;0;31,421904;0,17096378;0,033821072
Customizado ; Obliterante ; SOAR ;4541,097;1,2855;480,28625;1,827591;1,4216965;0,019559065
Customizado ; Obliterante ; SOAR ;4127,877;1,2625;447,866;2,5516405;2,0211012;0,029647702
Customizado ; Persistente ; SOAR ;78526,266;175,74875;0;30,965868;0,17619395;0,039433774
Customizado ; Reminiscente ; SOAR ;42864,67;15,597;375,77026;20,793646;1,3331823;0,04460014
Customizado ; Reminiscente ; SOAR ;65829,24;23,5515;397,36725;25,36111;1,0768363;0,036332455
Customizado ; Obliterante ; SOAR ;4221,9155;1,26825;474,98175;2,347124;1,8506794;0,026161324
Customizado ; Persistente ; SOAR ;103297,25;186,8455;0;30,285427;0,16208807;0,029318716
Customizado ; Obliterante ; SOAR ;4573,331;1,28325;504,24026;2,7158015;2,1163464;0,028243307
Customizado ; Persistente ; SOAR ;101023,89;185,57526;0;32,353184;0,17433996;0,03202528
Customizado ; Reminiscente ; SOAR ;51882,2;18,272;426,66925;26,844938;1,4691845;0,047810275
Customizado ; Obliterante ; SOAR ;4460,416;1,28625;473,608;2,7151766;2,1109245;0,029524034
Customizado ; Reminiscente ; SOAR ;59553,54;25,69575;400,68774;25,938744;1,0094566;0,040809587
Customizado ; Persistente ; SOAR ;91515,984;185,566;0;29,803957;0,1606111;0,032566942
Customizado ; Obliterante ; SOAR ;4757,384;1,31125;516,1475;1,8287829;1,3946867;0,018437432
Customizado ; Persistente ; SOAR ;98348,02;182,68774;0;27,836445;0,15237172;0,028304022
Customizado ; Reminiscente ; SOAR ;60032,3;21,75675;412,64374;20,720985;0,9523934;0,032296438
Customizado ; Obliterante ; SOAR ;4500,516;1,244;469,93176;1,4510567;1,1664443;0,015772639
Customizado ; Reminiscente ; SOAR ;54348,492;19,3525;452,84525;22,653818;1,1705886;0,038476553
Customizado ; Persistente ; SOAR ;104528,234;179,42625;0;28,746351;0,16021262;0,02750104
Customizado ; Persistente ; SOAR ;99960,36;179,87575;0;29,460468;0,16378233;0,029472152
Customizado ; Reminiscente ; SOAR ;69738,766;27,32075;355,456;20,607203;0,7542693;0,028116068
Customizado ; Obliterante ; SOAR ;4442,182;1,284;485,245;3,3422034;2,602962;0,035958424
Customizado ; Reminiscente ; SOAR ;62488,5;20,2835;392,8535;19,58531;0,9655784;0,029488385
Customizado ; Obliterante ; SOAR ;4570,679;1,29275;500,5355;2,6163723;2,0238812;0,027322087
Customizado ; Persistente ; SOAR ;101605,08;178,13425;0;27,18526;0,15261109;0,02675581
Customizado ; Reminiscente ; SOAR ;47821,82;16,813;428,509;21,598635;1,284639;0,041450616
Customizado ; Obliterante ; SOAR ;4406,4795;1,25875;476,21075;2,9488437;2,3426764;0,032162465
Customizado ; Persistente ; SOAR ;99612,95;183,46175;0;32,921665;0,17944703;0,033049583
Customizado ; Persistente ; SOAR ;102349,14;189,241;0;31,684052;0,16742699;0,030956833
Customizado ; Obliterante ; SOAR ;4639,314;1,2755;493,43024;1,0984693;0,86120677;0,011473922
Customizado ; Reminiscente ; SOAR ;65191,258;24,99825;430,2665;27,892841;1,1157918;0,040137097
Customizado ; Obliterante ; SOAR ;4403,528;1,292;488,95575;0,87539834;0,6775529;0,009419888
Customizado ; Reminiscente ; SOAR ;48392,434;16,92125;432,22925;28,672852;1,6944878;0,054392487
Customizado ; Persistente ; SOAR ;102967,734;194,4725;0;33,197697;0,17070638;0,032240875
Customizado ; Reminiscente ; SOAR ;61363,19;22,93825;420,7865;24,778679;1,080234;0,03778905
Customizado ; Obliterante ; SOAR ;4551,457;1,2695;490,897;2,1320167;1,6794144;0,022536155
Customizado ; Persistente ; SOAR ;100105,39;187,02;0;30,979187;0,16564639;0,030946571
Customizado ; Reminiscente ; SOAR ;58065,316;20,33925;485,01575;26,28913;1,2925318;0,041784838
